@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute class {0,1,2,3,4,5}

@data
-10.502079,-8.298488,3.712756,-0.307245,3.163672,3.712504,1.438774,-0.230529,-0.744331,-0.558381,1.049095,2.777119,-0.455257,0.825396,0.461422,1.350122,1.364926,1.166582,-0.832705,0.483777,-0.56375,-0.461004,-0.284287,-3.036056,1.516432,1.775882,-2.390596,0.114456,1.394326,0.515966,0.278092,-0.167029,0.694014,-0.086716,-0.530329,1.864071,2.160182,-0.265239,-1.793718,0.455372,-0.903584,-1.89475,0.890792,-0.019628,1.209759,0.706851,2.286895,0.002849,-0.05141,1
14.80232,-1.061569,8.748999,-0.086215,7.506387,-1.100323,-1.023902,0.218399,1.593169,0.495894,0.354932,-2.020596,0.956968,-0.456331,1.935548,0.630022,-0.78583,-0.309413,-0.238064,-1.309045,0.237465,-0.366109,-1.294226,0.032771,-0.200976,-0.518062,-1.468211,1.949122,1.372302,1.474366,-1.379066,1.084895,-1.125719,-2.400115,-1.710667,1.696929,-0.693951,-0.922789,0.172873,1.628675,-0.503641,0.646785,-0.954965,1.115966,-0.537394,-0.444584,0.708458,1.858773,-1.284639,1
-6.436364,12.262887,0.109518,2.614955,0.561221,-1.296938,-3.017782,-0.279742,-1.770709,1.304774,0.2541,-0.810573,0.032869,1.570321,-3.983119,2.113776,2.957746,-1.211738,2.459965,-3.525536,0.757295,0.192031,0.268833,-0.740348,-0.256626,0.583424,-1.488469,-0.537738,-0.492398,-1.096196,0.924357,0.040576,0.479942,1.383351,-1.945132,0.269413,-0.617566,0.775454,-0.46716,0.266465,-0.560682,-0.129063,-0.198949,1.806492,-1.352032,-0.837339,-0.404092,0.096276,0.342474,1
-11.540882,-9.047579,2.486392,1.595777,3.590491,3.517427,0.970557,-4.293096,0.437565,-0.370191,0.084655,1.975273,-0.965808,1.189694,1.601811,1.67999,2.770332,0.827033,-1.221911,0.892275,0.298788,0.387778,-0.134213,-0.852367,-0.815085,1.980447,0.839736,0.975153,-1.437579,1.114836,-0.117017,0.141539,-0.577881,0.780772,-0.227613,-0.963091,-0.765084,0.108567,0.302305,0.562647,-0.823521,0.365418,-0.332017,-1.207662,0.202183,-0.322464,-1.707737,-0.070495,-0.208849,1
-10.881753,-10.7363,1.736085,1.004109,3.758208,2.554032,-0.245596,-6.976327,0.745434,-0.856139,0.118101,-0.444419,-1.163153,0.174984,0.644817,1.288975,0.034259,-0.184901,-0.162818,-0.316231,0.412352,1.519793,0.066951,1.569235,-0.535711,-1.379065,0.961581,0.023795,0.428755,-0.518458,-0.246273,1.010658,-0.106633,-0.507359,1.030773,-1.945428,-0.318811,0.280884,-0.418682,-0.054682,0.671833,0.062063,0.182026,1.733211,-0.609849,0.322034,0.501729,0.802031,0.292082,1
-11.763988,-5.516153,3.224574,-0.003374,2.265863,5.223348,-0.920246,6.265415,-1.262706,3.405057,2.004156,2.177801,0.868665,-2.911157,-1.873622,-2.355447,-2.688467,-0.980271,-2.385857,-2.30978,-0.475844,0.989005,1.630722,-1.152904,1.334189,-1.450495,-4.562,-0.649716,2.844547,-1.692936,-1.03045,-1.13312,1.147501,-0.32564,2.246868,-1.621028,-2.088006,-0.577185,2.117547,-0.78021,-0.248507,1.168613,0.706655,-0.586183,-0.431129,-0.919764,-1.564363,0.421465,0.411899,1
15.372498,-0.54235,8.492761,-0.856725,6.43314,-1.438747,-0.102342,1.37105,1.51348,0.397546,0.517615,-2.937533,1.577216,1.0521,3.252522,0.97295,-0.640481,-0.962119,-1.533409,-1.02918,0.844434,0.155263,-1.713957,-0.676421,0.45355,0.492675,0.140382,-0.834859,-0.871332,-1.348569,-0.481393,0.43534,-0.183729,0.587413,0.049531,-0.592252,-0.428444,-0.338124,-0.240968,-0.604628,0.227625,-0.257511,1.003012,-0.28673,0.725281,0.925486,-0.238188,-1.307226,1.09512,1
14.505779,0.234304,7.954183,-2.703901,6.296642,-1.935447,-0.473908,-0.660718,-1.785857,0.207054,-2.641086,2.794514,-2.4519,-1.748071,-1.097317,-1.219732,2.55239,0.894619,1.486255,-0.319703,-3.398401,-0.12258,0.846832,0.637083,-1.940572,-0.446698,1.12747,-0.523334,-0.532215,2.153623,2.007858,-1.968197,3.066978,-0.384213,0.2588,-1.169734,-0.495529,-2.539349,0.312671,0.3055,0.195209,0.250618,0.193438,-0.431968,0.838235,-1.102551,0.524159,-1.076682,-0.337664,1
-11.59101,-3.434452,3.40687,0.190296,0.886266,4.732346,-0.229112,7.429055,-1.956111,2.74879,1.555278,1.374344,1.47489,-2.020612,-0.830604,-1.349426,-0.471151,-0.681904,-0.968477,-0.825041,-0.173753,0.918879,0.353924,1.958775,-0.80509,-0.340003,2.644877,0.15108,-0.972899,0.098713,0.922378,1.099235,-1.123871,0.14244,-0.93768,0.610858,-0.31056,0.054529,-0.534548,0.037253,0.234105,-0.191518,-0.190279,-0.225858,-0.173026,-0.040824,0.252327,-0.168891,-0.037782,1
-11.488205,-8.891043,2.516734,1.669692,3.595582,3.46166,0.930192,-3.979678,0.350228,-0.79854,0.269595,2.256067,-0.836568,1.393706,1.612845,1.680966,2.729874,1.050239,-0.980991,1.327062,0.193083,0.234911,-0.267459,-0.974435,-0.699078,1.980425,0.622446,0.800103,-1.361604,1.075455,-0.016181,0.078791,-0.515775,0.805255,-0.232096,-0.756333,-0.673961,0.111508,0.446862,0.637348,-0.91685,0.129803,-0.256732,-1.059448,0.195795,-0.412545,-1.678414,-0.278296,-0.134273,1
-7.785525,13.944752,-1.214951,3.445061,0.971372,-0.85966,-5.827529,0.73962,-0.24344,-1.913523,-1.740468,-1.503837,-0.746,-2.808595,4.248702,0.004612,-1.70396,4.317139,3.053729,-2.359463,4.490476,4.471391,2.404449,0.599071,-0.880321,1.938511,-0.107675,-1.891614,0.890238,1.751674,-0.638326,0.447948,-0.316715,-0.169425,1.639323,0.043142,0.317979,-0.309976,0.30333,0.46683,0.869158,0.28975,0.37746,-1.010059,0.725327,0.452502,0.210905,-0.094976,0.150684,0
-6.29744,10.456723,-3.551214,2.883211,1.873633,0.381022,1.1919,0.586526,6.017268,-1.276142,-0.881386,-0.162028,-1.16795,-3.67154,0.348135,0.076009,-1.365513,2.121032,-0.81462,0.229202,1.719848,-0.932557,-0.094957,-0.709607,2.271516,-3.166357,-1.583824,3.703778,-5.393406,0.523694,1.442007,0.199079,2.752163,-0.354412,-0.510907,-0.61213,1.172008,0.736594,-0.127455,-0.566569,0.010493,-0.078162,-1.014045,1.744928,1.304141,-0.428456,-0.190677,0.206596,0.909473,0
-5.945246,10.79292,-4.194795,0.472845,2.397969,0.155488,1.530824,2.236843,11.55127,0.615838,-0.111273,0.873928,0.17977,0.092329,-1.783208,0.9804,0.783923,-2.693284,-0.067285,2.033641,-1.251593,-0.277871,0.261611,0.822435,-1.475436,0.583694,0.332649,-0.585022,1.853377,-0.155584,-0.964438,0.040788,-0.685598,1.105886,0.416584,-0.413894,-0.644111,-0.534708,-0.635198,-0.931015,0.668827,0.206702,-1.019868,-0.605872,0.531432,0.559339,0.145748,0.068153,-0.131697,0
-6.295885,11.214675,-3.510002,2.259988,1.967395,0.411637,1.385978,1.302968,10.53964,-0.69597,-0.979916,0.777609,-0.733856,-1.523142,-1.150532,1.826472,-1.013996,-0.682229,0.937077,2.07568,-0.517259,-0.295593,1.179898,-0.076695,0.743809,-0.724106,-0.87598,1.249623,-2.371255,0.892095,1.386623,0.727914,1.853436,-2.481161,0.46275,0.758318,-0.949789,-0.321075,0.52507,0.046702,-0.443922,-1.15309,0.224838,-0.308467,-0.614497,0.200325,-1.136388,-0.520914,-0.031798,0
