@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute class {0,1,2,3,4,5}

@data
10.278586,-3.427927,5.314682,-2.898157,-3.807174,1.044826,-3.991513,-0.909927,-3.375059,-0.506433,-3.323582,-0.446781,0.467757,-0.632939,1.421081,1.73947,-0.682555,-0.434325,-0.350272,0.584291,0.807409,-2.962254,2.629382,0.611863,0.277996,0.968335,-0.148288,-0.252646,-0.320061,0.43296,0.826926,-1.467574,-2.630131,-1.903236,-0.767847,-0.990561,-1.988865,0.127665,0.145778,0.121905,-2.877786,-1.355678,0.442734,-0.265105,-0.124012,1.440729,0.557994,-0.102628,2.104517,-0.170097,0
-6.616006,10.255595,-3.579261,3.044475,1.655185,0.530099,1.321511,-1.413332,-5.936975,0.580979,0.855543,1.124352,-1.139731,2.825776,-1.54146,-0.092251,-1.278646,1.28993,0.917219,1.19663,1.668547,-1.027275,0.254527,-1.425179,2.20431,3.383602,2.579747,-1.68896,5.066092,-0.558028,1.274024,-1.644881,2.049612,0.950413,-0.393005,-0.261455,0.161999,0.460882,-0.212293,0.310951,-0.408657,0.167505,-0.553452,-1.615149,0.496748,0.376912,-0.557803,-0.697655,0.589839,-1.033766,0
-6.734377,10.657971,-3.079208,2.773074,2.24868,0.53546,-0.654065,-1.043681,-4.391289,1.071438,1.198139,0.717114,-1.453939,4.286828,-0.893677,1.791478,-1.534118,1.823591,1.507622,0.973615,2.926896,0.111013,-0.155201,-1.365031,3.156558,4.232183,2.101464,-1.094481,5.9481,0.556344,0.331215,-1.555379,1.472929,0.552208,-0.569197,-0.005073,-1.192388,1.488852,-0.281303,0.58818,0.230083,-1.010481,0.335084,-1.04781,-0.050059,1.012839,0.866534,0.525591,0.190698,-0.199514,0
-6.613045,10.98483,-3.855429,2.192399,2.069418,0.557494,1.158704,-2.827619,-10.702151,0.200206,1.285425,0.096175,-0.181287,0.499358,-1.601226,-1.825595,-1.089034,-1.539988,-0.298471,1.544465,-1.254722,-0.649693,0.929993,-0.510424,0.867518,0.631119,1.01914,-0.658306,1.787163,0.318287,0.774605,-0.986352,0.0966,2.769095,0.091845,-0.397757,1.509783,-1.126784,-0.057936,0.047795,-0.973747,1.515337,0.371857,0.34966,0.055172,-1.342983,-0.785604,-0.95092,-0.254856,0.236315,0
-5.21322,8.737171,-3.803159,0.299616,1.255798,0.52751,1.907926,-3.272918,-6.211008,-1.372257,0.540395,0.54423,1.055531,-2.307861,-0.255594,-0.727084,3.417405,-2.28257,-0.860165,-0.339255,-1.089997,-0.988389,-1.743145,0.532419,-2.042878,-0.182124,-1.69515,0.617065,-2.265114,0.368628,-1.553959,1.351525,0.409018,-2.866147,0.076119,0.243608,-2.899665,2.653575,2.342705,-0.361078,0.933672,-0.446419,1.855078,-0.890837,-0.330167,2.08471,1.19144,2.061823,-1.212981,-0.717351,0
-5.328952,8.938407,-3.875532,0.392567,1.470002,0.595018,1.937004,-3.437826,-6.973834,-0.983035,0.524008,0.263866,1.129218,-2.330027,-0.682789,-0.590133,3.161863,-2.112383,-0.524666,-0.590762,-1.093564,-1.018238,-1.66453,0.742386,-2.155134,-0.010986,-1.546563,0.874837,-2.62103,0.115436,-1.791722,1.386297,0.732597,-2.752047,-0.006619,1.030054,-2.311931,2.441204,1.706354,-0.198075,1.176704,-0.999474,1.203465,-0.744671,0.119494,1.947266,0.778024,2.030029,-1.220404,-0.659373,0
-6.981636,11.158466,-2.696884,2.919022,2.275225,0.477031,-2.034182,-0.664308,-2.45624,1.146286,1.113635,0.69366,-1.026206,4.854252,-0.105477,2.558226,-1.905703,2.158658,0.827277,1.517812,3.224709,1.591245,0.016926,-0.350454,2.168472,3.921832,1.120636,-1.44269,4.781579,0.579297,-0.421019,-0.519916,1.50101,-0.772354,-0.459617,0.279652,-1.363009,1.327091,-0.728575,0.758145,0.289837,-1.367945,0.162247,-0.308547,0.070453,1.208753,1.151126,1.687649,-0.177392,-0.039078,0
-5.927013,9.921151,-4.184825,0.08496,1.68037,0.239531,2.347097,-3.256122,-10.236503,-0.632768,0.043948,-0.126656,0.467083,-2.49118,-1.559314,-1.336316,2.355752,-2.102717,0.118703,-0.256242,-2.042038,-1.39688,-0.665969,-0.111331,-1.78411,-0.561512,-0.569198,0.871946,-1.659351,-0.181506,-0.706079,0.308423,0.304415,-0.796075,0.291373,0.574394,-0.557278,0.77504,0.588871,-0.313869,1.029571,-0.655209,0.440824,-0.603133,0.256051,0.546569,-0.319483,0.275323,0.638524,-0.582456,0
-6.13372,10.252758,-4.168964,0.415852,1.885001,0.314765,1.770139,-3.499716,-10.654379,-0.534826,-0.134105,-0.094321,0.386921,-2.201713,-1.670554,-1.15633,2.059631,-2.212946,0.275588,0.033079,-1.938176,-0.913321,-0.26445,0.177243,-1.631572,-0.523743,-0.512068,0.592856,-1.434049,0.120944,-0.757159,0.58458,0.429487,-0.870963,0.32838,0.906058,-0.360006,0.433445,-0.085906,-0.039687,1.172488,-0.784918,-0.279799,-0.443633,0.386939,0.937586,-0.347463,0.110921,0.6133,-0.182582,0
-6.59923,10.993902,-4.082581,1.854111,2.332912,0.541299,1.339994,-3.080834,-11.089867,-0.036297,1.295154,-0.060574,0.066627,0.171557,-1.656419,-2.03125,-0.81734,-1.747918,-0.490899,1.559692,-1.380736,-0.689273,0.863727,-0.560398,0.981122,0.362412,1.00317,-0.497587,1.270773,0.261404,0.712143,-0.913602,-0.11639,2.484214,-0.081804,-0.387487,1.596307,-1.3162,-0.176375,-0.02751,-0.982329,1.275793,0.5329,0.651505,-0.038993,-1.440651,-0.724135,-0.692626,-0.342641,0.28841,0
-5.318491,8.928536,-3.736825,0.398022,1.220788,0.522406,1.855588,-3.404936,-6.747221,-1.129878,0.655614,0.435537,1.060897,-2.258137,-0.481458,-0.779996,3.174786,-2.358247,-0.679083,-0.418572,-1.157936,-0.919146,-1.567486,0.817633,-1.920669,-0.2011,-1.773112,0.734599,-2.321937,0.215478,-1.590576,1.294758,0.536153,-2.756858,0.064555,0.496112,-2.601378,2.47819,2.057263,-0.38888,1.120156,-0.58087,1.632792,-0.836087,-0.197626,1.988796,0.958521,2.028454,-1.211354,-0.71608,0
